,File Name,Duration,File Size,Bit Depth,Bit Rate,Channels,Sample Rate,Class Name,Class ID
0,Axecutting_1.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
1,Axecutting_10.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
2,Axecutting_100.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
3,Axecutting_1000.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
4,Axecutting_1001.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
5,Axecutting_1002.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
6,Axecutting_1003.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
7,Axecutting_1004.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
8,Axecutting_1005.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
9,Axecutting_1006.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
10,Axecutting_1007.wav,5.154833333333333,989806,16,1536000,2,48000,Axecutting_Sounds,1
11,Axecutting_1008.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
12,Axecutting_1009.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
13,Axecutting_101.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
14,Axecutting_1010.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
15,Axecutting_1011.wav,9.479791666666667,910138,16,768000,1,48000,Axecutting_Sounds,1
16,Axecutting_1012.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
17,Axecutting_1013.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
18,Axecutting_1014.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
19,Axecutting_1015.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
20,Axecutting_1016.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
21,Axecutting_1017.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
22,Axecutting_1018.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
23,Axecutting_1019.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
24,Axecutting_102.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
25,Axecutting_1020.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
26,Axecutting_1021.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
27,Axecutting_1022.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
28,Axecutting_1023.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
29,Axecutting_1024.wav,9.9925,959358,16,768000,1,48000,Axecutting_Sounds,1
30,Axecutting_1025.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
31,Axecutting_1026.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
32,Axecutting_1027.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
33,Axecutting_1028.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
34,Axecutting_1029.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
35,Axecutting_103.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
36,Axecutting_1030.wav,9.083520833333333,1744114,16,1536000,2,48000,Axecutting_Sounds,1
37,Axecutting_1031.wav,9.068104166666666,1741154,16,1536000,2,48000,Axecutting_Sounds,1
38,Axecutting_1032.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
39,Axecutting_1033.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
40,Axecutting_1034.wav,9.516270833333333,913640,16,768000,1,48000,Axecutting_Sounds,1
41,Axecutting_1035.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
42,Axecutting_1036.wav,9.5325,1830318,16,1536000,2,48000,Axecutting_Sounds,1
43,Axecutting_1037.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
44,Axecutting_1038.wav,9.396270833333332,902120,16,768000,1,48000,Axecutting_Sounds,1
45,Axecutting_1039.wav,10.000975056689342,882164,16,705600,1,44100,Axecutting_Sounds,1
46,Axecutting_104.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
47,Axecutting_1040.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
48,Axecutting_1041.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
49,Axecutting_1042.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
50,Axecutting_1043.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
51,Axecutting_1044.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
52,Axecutting_1045.wav,9.1461875,1756146,16,1536000,2,48000,Axecutting_Sounds,1
53,Axecutting_1046.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
54,Axecutting_1047.wav,7.070479166666667,1357610,16,1536000,2,48000,Axecutting_Sounds,1
55,Axecutting_1048.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
56,Axecutting_1049.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
57,Axecutting_105.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
58,Axecutting_1050.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
59,Axecutting_1051.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
60,Axecutting_1052.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
61,Axecutting_1053.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
62,Axecutting_1054.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
63,Axecutting_1055.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
64,Axecutting_1056.wav,10.0,960078,16,768000,1,48000,Axecutting_Sounds,1
65,Axecutting_1057.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
66,Axecutting_1058.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
67,Axecutting_1059.wav,9.09975,1747230,16,1536000,2,48000,Axecutting_Sounds,1
68,Axecutting_106.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
69,Axecutting_1060.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
70,Axecutting_1061.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
71,Axecutting_1062.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
72,Axecutting_1063.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
73,Axecutting_1064.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
74,Axecutting_1065.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
75,Axecutting_1066.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
76,Axecutting_1067.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
77,Axecutting_1068.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
78,Axecutting_1069.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
79,Axecutting_107.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
80,Axecutting_1070.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
81,Axecutting_1071.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
82,Axecutting_1072.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
83,Axecutting_1073.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
84,Axecutting_1074.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
85,Axecutting_1075.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
86,Axecutting_1076.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
87,Axecutting_1077.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
88,Axecutting_1078.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
89,Axecutting_1079.wav,10.0,1920078,16,1536000,2,48000,Axecutting_Sounds,1
90,Axecutting_108.wav,10.0,1764044,16,1411200,2,44100,Axecutting_Sounds,1
91,Axecutting_1080.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
92,Axecutting_1081.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
93,Axecutting_1082.wav,10.0,320044,16,256000,1,16000,Axecutting_Sounds,1
